,img_name,question,h,r,t,answer,fold
8265,112000420220706162250.jpg,이미지 속 중국의 상징에 해당하는 전설의 동물은 뭐야?,Dragon,subject,symbol of china,dragon,3.0
8266,160301220220805103316.jpg,이미지 속 유인원의 아강은 무엇이니?,Human,subject,Ape,Theria,3.0
8267,140800620220708181344.jpg,이미지 안 덩굴식물은 무엇에 해당되니?,Grape,subject,Vitaceae,Vitaceae,3.0
8268,141501720220727112409.jpg,이미지 내 미나리목에 해당하는 식물은 뭐야?,Heracleum mantegazzianum,kingdom,Plant,giant hogweed,3.0
8269,141800620220727134404.jpg,이미지 속 속씨식물은 무슨 목에 해당하지?,Sesame,order,Lamiales,Lamiales,3.0
8270,120105320220922163618.jpg,이미지 내 유시아강에 포함되는 곤충은 뭐라고 부를까?,Damselfly,subclass,Pterygota,Damselfly,3.0
8271,132901620220722134423.jpg,이미지 속 직비원류에 속한 것의 아문은 뭐야?,Human,suborder,Haplorhini,vertebrate,3.0
8272,140200520220701155005.jpg,이미지에서 브라시카 올레라케아에 속하는 것은 뭐야?,Broccoli,subject,Brassica oleracea,broccoli,3.0
8273,115800120220803170511.jpg,이미지 속 영상 기기를 뭐라고 부를까?,Computer monitor,subject,video_device,a computer monitor,3.0
8274,120209220220802115959.jpg,이미지 안 임팔라는 무슨 목에 해당하는 척삭동물일까?,Impala,order,joiner,Artiodactyla,3.0
8275,113500320220905133623.jpg,이미지 안 양치기 개를 뭐라고 해?,come by,RelatedTo,sheepdog,sheepdog,3.0
8276,140400220221031111843.jpg,이미지에 곡물은 어떤 아과에 속하니?,Oat,subject,Grain,Pooideae,3.0
8277,131001120220628174144.jpg,이미지에서 도로 교통에 이용하는 것은 뭐니?,Car,subject,Transport,an automobile,3.0
8278,122203220220802115835.jpg,파랑새목에 속하고 척삭동물에 포함되는 건 뭐야?,Hornbill,order,Coraciiformes,Rhinoceros hornbill,3.0
8279,110101820220621130802.jpg,이미지 안 키보드는 어떤 악기야?,Electronic keyboard,subject,Keyboard instrument,keyboard instrument,3.0
8280,111500220220706151615.jpg,이미지 내 서커스를 하는 사람의 직업은 무엇이니?,Clown,subject,Job,Clown,3.0
8281,120803320220720170633.jpg,척삭동물에 속하는 개복치의 목은 뭐야?,Ocean sunfish,order,Tetraodontiformes,Tetraodontiformes,3.0
8282,120400920220721134307.jpg,이미지 속 이구아나하목에 속하는 동물은 뭐니?,Chameleon,infraorder,Iguanomorpha,chameleon,3.0
8283,121900320220707182435.jpg,이미지 안 척삭동물에 해당하는 동물은 뭐야?,Polar bear,phylum,Chordate,ice bear,3.0
8284,120201220220623151833.jpg,코알라는 무엇에 속할까?,Koala,subclass,Marsupial,judeasaurus,3.0
8285,110501120220728182116.jpg,이미지에서 해안구조물은 무엇이니?,Breakwater (structure),subject,coastal structure,cofferdam,3.0
8286,120208020220801182608.jpg,이미지 안에 들소가 속하는 문은 뭐야?,Bison,phylum,Chordate,chordate,3.0
8287,211301120220906121534.jpg,이미지 안의 도예는 어느 나라의 문화에 속할까?,Onggi,subject,Pottery,Korea,3.0
8288,122203420220804103848.jpg,이미지 안 흑고니는 무슨 목에 해당하지?,Black swan,order,Anseriformes,Anseriformes,3.0
8289,114700320220719172645.jpg,이미지 안 싱크대가 있고 음식을 조리하는 장소는 어디야?,a sink,AtLocation,the kitchen,the kitchen,3.0
8290,141200720220711112145.jpg,이미지 안 학명이 아이리스인 여러해살이풀은 어떤 목에 해당할까?,Iris sanguinea,order,Asparagales,Asparagales,3.0
8291,120800320220708103141.jpg,이미지의 멸치는 어디에 속해 있니?,Japanese anchovy,class,Actinopterygii,Actinopteri,3.0
8292,141700220221017162954.jpg,이미지 내의 식물은 어떤 미분류문에 속하니?,Camellia japonica,kingdom,Plant,ia genus,3.0
8293,141500120220712115745.jpg,이미지 내에서 국화과에 속하는 것은 무슨 미분류문에 해당하지?,Senecio vulgaris,family,Asteraceae,ia genus,3.0
8294,130302120220822180134.jpg,이미지 속 조각을 내는 것과 연관된 도구는 무엇이니?,Scissors,subject,Tool,scissors,3.0
8295,120204620220809165003.jpg,이미지 속 다리를 서는 용도로 사용하는 것은 뭐야?,a leg,UsedFor,stand,hyena,3.0
8296,120201420220623164443.jpg,이미지 내에서 진원류에 해당하는 원숭이는 무엇에 포함될까?,Monkey,class,Mammal,a mammal,3.0
8297,115800320220907113005.jpg,이미지 속 개인용 컴퓨터에 해당하는 것은 뭐야?,Desktop computer,subject,Personal computer,desktop computer,3.0
8298,140100820220705162220.jpg,이미지 내 장미아과에 속하는 과일은 뭐야?,Strawberry,subject,Rosoideae,strawberry,3.0
8299,115201020220906160801.jpg,이미지 내 실을 잣는 것과 관계있는 것은 뭐니?,reel,RelatedTo,yarn,reel,3.0
8300,122201120220810104907.jpg,이미지 속 오리과인 가금은 뭐지?,Domestic goose,subject,Poultry,goose,3.0
8301,120201320220623155035.jpg,이미지 안의 식육목에 해당하는 사자는 무엇에 속할까?,Lion,subject,Mammal,a mammal,3.0
8302,120806220220720182754.jpg,이미지 내의 조기어류에 해당하는 시클리드는 무엇에 포함될까?,Cichlid,class,Actinopterygii,Perciformes,3.0
8303,122100120220622131237.jpg,이미지 안 협각류에 속하는 동물은 뭐야?,Scorpion,kingdom,Animal,scorpion,3.0
8304,113700420220719112307.jpg,이미지 안의 수도 시설은 무엇일까?,Water tank,subject,water supply_facility,Water tank,3.0
8305,115900120220801164350.jpg,이미지 속 사형 기구를 뭐라고 해?,Guillotine,subject,death penalty_instrument,guillotine,3.0
8306,120401120220929113603.jpg,이미지 속 이구아나류에 해당하는 척삭동물은 뭐야?,Agamidae,phylum,Chordate,agama,3.0
8307,140601820220726112032.jpg,이미지 안 갈조류가 속한 계는 뭐야?,Saccharina japonica,subject,Brown algae,Chromalveolata,3.0
8308,110601120220718161355.jpg,이미지 내 1958년에 출시된 장난감은 뭐야?,Hula hoop,subject,1958_Released,hula hoop,3.0
8309,121900220220707162603.jpg,이미지 내에서 해양 포유류에 속하는 것은 뭐니?,Walrus,subject,Marine mammal,walrus,3.0
8310,121100220220707134126.jpg,이미지 안 새우는 무슨 부류에 속해 있니?,Shrimp,subphylum,Crustacean,an udder,3.0
8311,110201820220802140126.jpg,이미지 속 식기를 뭐라고 부르지?,Plate (dishware),subject,tableware,a plate,3.0
8312,111500120220706141334.jpg,이미지에 곡예는 무슨 기술에 속해?,Acrobatics,subject,circus_tech,a circus,3.0
8313,120200120220622180942.jpg,이미지 속 소과에 속하는 것은 무엇이니?,Antelope,subject,Bovidae,antelope,3.0
8314,114700420220720105321.jpg,냉각 기술을 이용하는 가전제품은 무엇일까?,Air conditioner,subject,cooling_technology,air conditioner,3.0
8315,114000720220719130925.jpg,이미지에서 소독제에 속하는 것은 뭐야?,Hand sanitizer,subject,disinfectant,Hand sanitizer,3.0
8316,114801220220719184212.jpg,이미지 안 식당에서 요리를 하는 사람을 뭐라고 부를까?,a cook,AtLocation,a restaurant,Cooker,3.0
8317,122203620220913154416.jpg,이미지 내 남미와 관련이 있는 것은 뭘까?,macaw,RelatedTo,south america,macaw,3.0
8318,120200720220819173148.jpg,이미지 속 장비목에 속한 거대동물은 뭐야?,Elephant,subject,Proboscidea,elephant,3.0
8319,114701020220719154436.jpg,이미지 속 티피는 어느 나라의 문화야?,Tipi,subject,Culture of the United States,usa,3.0
8320,141600720220712150802.jpg,바질은 무슨 식물이야?,Basil,subject,Hub,Hub,3.0
8321,160100120221005170506.jpg,이미지 속 활주로에 있는 항공기는 뭘까?,Airplane,subject,Aircraft,plane,3.0
8322,141700220220729102022.jpg,이미지 안 동백나무는 어떤 미분류강에 속해?,Camellia japonica,unclassified_class,Eudicots,Eudicot plant,3.0
8323,140300120220701111902.jpg,버섯은 무엇에 속할까?,Mushroom,subject,Fungus,fungi,3.0
8324,121900520220907163655.jpg,이미지에 있는 척삭동물의 과는 뭐니?,Japanese sea lion,phylum,Chordate,seal,3.0
8325,110600420220714175413.jpg,이미지 속 추상전략 보드게임은 무엇이니?,Chess,subject,Abstract strategy game,chess,3.0
8326,131500520220721171456.jpg,이미지 안의 영국의 발명품은 뭐야?,Steel and tin cans,subject,british invention,canker,3.0
8327,120202720220824172718.jpg,이미지에 있는 가축은 무슨 동물이야?,Cattle,subject,Megafauna,Megafauna,3.0
8328,110100120220620133018.jpg,이미지에서 기명악기에 해당하는 것은 뭐야?,Accordion,subject,Aerophone,an accordion,3.0
8329,160100720220713174923.jpg,이미지 속 헬리콥터는 어느 나라의 발명품일까?,Helicopter,subject,Argentinian invention,Argentina,3.0
8330,120800520220708145135.jpg,이미지 속 조기어류는 뭐야?,Eurasian carp,class,Actinopterygii,common carp,3.0
8331,133300520220722141813.jpg,이미지 안 토목 공학에 연관있는 석유 제품은 무엇일까?,Rock asphalt,subject,Petroleum product,asphalt,3.0
8332,110200320220621151201.jpg,이미지 속 길거리 음식에 속하는 샌드위치 이름은 뭐니?,Hamburger,subject,Street food,hamburgers,3.0
8333,140101520220718145527.jpg,복숭아는 무엇에 속할까?,Peach,subject,Amygdaloideae,Amygdaloideae,3.0
8334,141404220220923134752.jpg,이미지 속 원예 식물이 속하는 과는 뭘까?,yellow azalea,subject,Gardening_Plants,Ericaceae,3.0
8335,110102320220801171400.jpg,이미지에 있는 음역이 210인 기명악기는 뭐야?,Organ (music),subject,Aerophone,organ,3.0
8336,140800120220711104901.jpg,이미지 내 나팔꽃은 무엇에 속하는 식물일까?,Ipomoea nil,order,Solanales,Solanales,3.0
8337,120105420220928145507.jpg,이미지 안 풍뎅이아목에 속하는 곤충은 뭐야?,Chrysomeloidea,suborder,Polyphaga,leafworm,3.0
8338,130303020220718114607.jpg,타자용 헬멧은 어디에 쓰이는 장비니?,Batting helmet,subject,Baseball clothing and equipment,baseball,3.0
8339,120105320220922150033.jpg,이미지 속 곤충은 무슨 목에 속할까?,Damselfly,order,Odonata,Odonata,3.0
8340,115400120220801144416.jpg,이미지 속 가톨릭 건축물은 뭐지?,Altar,subject,Catholic_Architecture,altar,3.0
8341,130501320220628172953.jpg,아령은 무엇에 사용되는 기구야?,Dumbbell,subject,Exercise equipment,exercise,3.0
8342,122203620220913145932.jpg,이미지 속 앵무새를 뭐라고 하지?,macaw,RelatedTo,parrot,macaw,3.0
8343,120203920220707171725.jpg,이미지 안에 있는 포유류는 어느 문에 속할까?,Deer,class,Mammal,chordate,3.0
8344,120202320220823162821.jpg,이미지 안 소목에 해당하는 가축은 뭐야?,Pig,subject,Livestock,swine,3.0
8345,120200720220819181557.jpg,이미지에 있는 동물의 목은 무엇이지?,Elephant,kingdom,Animal,Proboscidea,3.0
8346,121900220220707170636.jpg,이미지에서 척삭동물에 해당하는 동물은 뭐야?,Walrus,phylum,Chordate,walrus,3.0
8347,120200120220622133542.jpg,이미지 속 소과에 속하는 거대동물은 무엇일까?,Antelope,subject,Bovidae,antelope,3.0
8348,122200320220708134514.jpg,이미지 속 까치는 어느 나라의 천연기념물이니?,Oriental magpie,subject,Japan_Natural Monument,japan,3.0
8349,180200420220919182227.jpg,이미지 안 인도의 문화와 연관 있는 모자는 뭐야?,Turban,subject,Hat,turban,3.0
8350,120104820220822115518.jpg,이미지 내 절지동물에 속하는 곤충은 뭐지?,Papilio xuthus,class,Insect,Papilio xuthus,3.0
8351,130900220220628131544.jpg,이미지 안의 마우스는 어떤 물건의 입력 장치니?,Computer mouse,subject,Input device,computers,3.0
8352,122203120220802181816.jpg,이미지 안 백로는 무슨 목에 해당해?,Egret,order,Ciconiiformes,Ciconiiformes,3.0
8353,140200720220718104546.jpg,메꽃과에 포함되는 이미지 속의 뿌리채소는 무엇이니?,Sweet potato,subject,Root vegetable,ocarina,3.0
8354,131000620220628133615.jpg,이미지 안 영상이 나오는 기기는 뭐야?,Television,subject,video_device,tv,3.0
8355,141201020220711143954.jpg,이미지에서 아우스트로바일레야목에 속하는 식물의 미분류문은 뭐니?,Schisandra chinensis,order,Austrobaileyales,ia genus,3.0
8356,122202320220728181733.jpg,가마새는 무엇에 속하는 동물이야?,Ovenbird,subject,New World warbler,New World warbler,3.0
8357,114500320220914101015.jpg,이미지 안에 문자 예술과 관계된 미디어 아트는 뭘까?,ASCII art,subject,New media art,ascii art,3.0
8358,110500720220729144533.jpg,이미지 내 결혼식을 위해 사용하는 곳을 뭐라고 부를까?,a church,UsedFor,weddings,church,3.0
8359,141204020220805140753.jpg,이미지 내 초롱꽃과에 속하는 데이지의 과는 무엇이야?,Bellis perennis,subject,Campanulaceae,chrysanthemum,3.0
8360,111500220220706153001.jpg,이미지 내 공연 예술과 연관된 것은 뭐니?,Clown,subject,Performing arts,Clown,3.0
8361,132101320220816162128.jpg,이미지 속에서 인도의 발명품에 해당하는 것은 뭘까?,Shampoo,subject,indian invention,shampoo,3.0
8362,115600120220801181537.jpg,이미지 속 통가의 상징은 뭐야?,Columbidae,subject,symbol of Tonga,pigeon,3.0
8363,132302620220711133936.jpg,이미지 속 통신 시설은 뭐야?,Utility pole,subject,communication_facility,utility pole,3.0
8364,180400220220907165343.jpg,이미지 내 베이징 시의 건축물은 어느 나라를 상징하니?,Tiananmen,subject,symbol of the People's Republic of China,people's republic of china,3.0
8365,150102320220728165618.jpg,이미지 안 크리켓은 무슨 종목에 해당하니?,Cricket,category,Ball game,Ball game,3.0
8366,120500120220901134923.jpg,이미지 속 진양서류에 속하는 척삭동물은 뭘까?,Frog,phylum,Chordate,Frog,3.0
8367,120100120220622142106.jpg,이미지 속 절지동물은 무엇에 속하니?,Ant,subject,felling,felling,3.0
8368,112400820220819135716.jpg,이미지 속 여성복은 뭐야?,tutu,IsA,women's clothing,Tutu (clothing),3.0
8369,122200820220811174642.jpg,이미지 안 매는 어느 문에 속하니?,Peregrine falcon,phylum,Chordate,chordate,3.0
8370,140500120220711151256.jpg,이미지 속에서 기생식물인 겨우살이는 무엇에 속하니?,mistletoe,subject,Parasitic plant,Santalales,3.0
8371,110200320220621154818.jpg,이미지 속 독일 요리인 길거리 음식은 뭘까?,Hamburger,subject,Street food,hamburgers,3.0
8372,122203120220802180156.jpg,이미지에서 조강에 속하는 백로의 목은 무엇에 해당하니?,Egret,class,crude steel,Ciconiiformes,3.0
8373,132502520220721171411.jpg,이미지에 있는 짚은 무엇에 해당해?,Straw,subject,Poaceae,poaceae,3.0
8374,141502820220921132842.jpg,이미지 내 식물의 미분류강은 뭘까?,Journey_(plant),kingdom,Plant,monoclea,3.0
8375,151300120220929171825.jpg,이미지 안 야구장에 있는 스포츠 장비는 무엇이니?,Scoreboard,subject,sports_equipment,scoreboard,3.0
8376,120200720220623113634.jpg,이미지에서 장비목에 해당하는 동물은 뭐야?,Elephant,order,Proboscidea,elephant,3.0
8377,110400420220714181552.jpg,이미지 속 안전 장비는 뭐지?,guardrail,subject,safety_equipment,Guardrail,3.0
8378,160200120220822105308.jpg,이미지 속 차도에 있는 프랑스의 발명품은 무엇이니?,Bicycle,subject,French invention,bikes,3.0
8379,110502320220914120035.jpg,이미지 내 영장상목에 해당하는 진원류를 뭐라고 하니?,Human,superorder,Euarchontoglires,people,3.0
8380,113100420220718151939.jpg,이미지 내 풀빵은 어느 나라의 요리야?,Taiyaki,subject,Japanese cuisine,japan,3.0
8381,120201220221101131827.jpg,이미지 안 동물은 어느 나라의 포유류일까?,Koala,subject,australian_mammals,Australia,3.0
8382,120208620220802113157.jpg,이미지 속 걷는 비글은 무엇에 속해?,Beagle,subject,Hound,Hound,3.0
8383,120400120220624171425.jpg,이미지 안 파충류에 해당하는 척삭동물을 뭐라고 부를까?,Turtle,class,Reptile,turtle,3.0
8384,151100520220713143203.jpg,이미지 안에 아레나는 어떤 시설이야?,Arena,subject,Sports_Facilities,sport,3.0
8385,151100620220713154422.jpg,이미지 속 스포츠 시설의 이름은 뭘까?,Gym,subject,Sports_Facilities,the gym,3.0
8386,120202620220624160347.jpg,얼룩말은 무엇에 속하는 동물일까?,Zebra,phylum,Chordate,chordate,3.0
8387,113100320220718145236.jpg,이미지 속 일본 음식은 뭐야?,takoyaki,RelatedTo,japanese,Takoyaki,3.0
8388,120102320220720135306.jpg,이미지에서 나비목에 속하는 동물의 문은 뭐야?,Hummingbird hawk-moth,order,Lepidoptera,arthropod,3.0
8389,180100320220919101917.jpg,이미지 속 매운 향신료는 뭘까?,curry,IsA,a spice,curry,3.0
8390,120105320220922150939.jpg,이미지 속 유시아강에 속하는 동물은 무엇이니?,Damselfly,kingdom,Animal,Damselfly,3.0
8391,110102620220729132706.jpg,이미지에서 중국의 발명품에 해당하는 것은 뭐야?,Bell,subject,chinese invention,specie,3.0
8392,120800520220708150350.jpg,이미지 안에서 조기어류에 해당하는 동물은 무엇이니?,Eurasian carp,class,Actinopterygii,common carp,3.0
8393,120600220220707112020.jpg,이미지 속 복족류는 무슨 상목에 해당할까?,Slug,class,Gastropoda,Heterobranchia,3.0
8394,120207820220803155836.jpg,이미지 내 포유류의 과는 뭐야?,Dromedary,subject,Camelidae,camelidae,3.0
8395,140101620220718154606.jpg,아보카도는 무슨 과일에 해당될까?,Avocado,subject,Tropical fruit,tropical fruit,3.0
8396,120209420220802150145.jpg,코요테의 문은 뭐야?,Coyote,phylum,Chordate,chordate,3.0
8397,120204620220707103326.jpg,이미지 속 포유류는 뭐야?,Hyena,class,Mammal,hyena,3.0
8398,141901320220727183604.jpg,이미지 내 욘두라스의 식물상에 해당하는 상록 소고목의 미분류목은 뭐지?,Papaya,subject,Flora of Honduras,Rosids,3.0
8399,140800620220708180855.jpg,이미지 속 덩굴식물에 속하는 것은 뭐야?,Grape,subject,Vine,grape,3.0
8400,120100520220818132622.jpg,이미지에서 무당벌레의 목은 뭘까?,Harmonia axyridis,order,Beetle,coleoptera,3.0
8401,152000320220713135547.jpg,양궁은 무슨 경기 종목에 속하니?,Modern competitive archery,subject,Olympic sports,olympics,3.0
8402,132301720220708160253.jpg,이미지 속 군사 장비는 뭐야?,Dog tag,subject,Materiel,dog tag,3.0
8403,141202120220726183722.jpg,이미지 내 꿀풀목인 식물의 미분류목은 뭘까?,Prunella vulgaris,order,Lamiales,Asterids,3.0
8404,120800420220708133506.jpg,이미지에서 상어는 무엇에 해당하는 척삭동물이니?,Shark,class,Chondrichthyes,Chondrichthyes,3.0
8405,141201920220726153837.jpg,까마중은 무슨 미분류강에 속하는 식물이지?,Solanum nigrum,kingdom,Plant,Eudicot plant,3.0
8406,120202520220627114146.jpg,이미지 내 고래는 무엇에 해당될까?,Cetacea,subject,Marine mammal,marine mammal,3.0
8407,116200320220920175811.jpg,이미지 속 서지학과 관련 있는 것은 뭐야?,Papyrus,subject,Bibliography,papyrus,3.0
8408,152300220220713183124.jpg,이미지 내에 낙하산은 군사 장비이면서 어떤 장비에 해당하니?,Parachute,subject,sports_equipment,sport,3.0
8409,120800820220715145631.jpg,이미지 속 해산물은 뭐야?,Tuna,subject,Seafood,tuna,3.0
8410,141502220220727102114.jpg,이미지 안 유독식물은 무슨 미분류목에 속하니?,Park Ju-gari,subject,Poisonous plants,Asterids,3.0
8411,110101520220620144144.jpg,이미지의 금관 악기는 음역이 몇인 악기지?,Trombone,subject,Brass instrument,220 (number),3.0
8412,141300120220711161917.jpg,이미지 속 잔고사리과에 해당하는 식물은 뭐야?,Bracken,kingdom,Plant,brackeny,3.0
8413,140200420220831144319.jpg,이미지 속 게놈 해독이 완료된 식물은 뭘까?,Potato,subject,Genome_sequencing_completed_plants,potato,3.0
8414,180100220220809170616.jpg,이미지 속 이탈리아 요리에 해당하는 것은 뭐야?,Carbonara,subject,Italian cuisine,carbonara,3.0
8415,120206520220720115613.jpg,이미지 속 곡비원류에 해당하는 동물은 뭐야?,Sifaka,suborder,Strepsirrhini,sifaka,3.0
8416,120203820220707155654.jpg,이미지 속 로라시아상목에 해당하는 포유류의 이름은 뭐야?,Bat,class,Mammal,bat,3.0
8417,140800620220708180836.jpg,이미지 내 포도는 무엇에 포함될까?,Grape,unclassified_phylum,Flowering plant,ia genus,3.0
8418,134201820220725150448.jpg,이미지에 있는 소책자는 뭐지?,Pamphlet,subject,pamphlet,pamphlet,3.0
8419,120803320220720153150.jpg,조기어류에 속하는 개복치의 상목은 무엇일까?,Ocean sunfish,class,Actinopterygii,Acanthopterygii,3.0
8420,110601120220718161036.jpg,이미지 속 훌라후프는 몇 년도에 출시되었니?,Hula hoop,subject,1958_Released,1958,3.0
8421,171200120220926102430.jpg,이미지 속 훈제 요리를 뭐라고 하지?,Bacon,subject,Smoking (cooking),bacon,3.0
8422,121100220220707133626.jpg,이미지 내 갑각류에 속하는 것은 무엇이니?,Shrimp,subphylum,Crustacean,shrimp,3.0
8423,131600120220809175136.jpg,이미지 속 헝가리와 스웨덴에서 발명한 것은 뭐니?,Match,subject,Hungarian invention,matches,3.0
8424,120203220220707140201.jpg,이미지에서 고릴라는 무엇에 해당하는 동물이니?,Gorilla,order,Primate,a primate,3.0
8425,130600920220805103057.jpg,이미지 속 옷은 어느 나라의 민족 의상이니?,Kimono,subject,ethnic_costume,japan,3.0
8426,180900120220913174754.jpg,이미지에 있는 폭포는 어느 나라에 있지?,Gullfoss,subject,Iceland's Waterfall,Iceland,3.0
8427,141402120220726142227.jpg,이미지 내의 식물은 무슨 과에 속해 있어?,Lilium,subject,Gardening_Plants,liolaemidae,3.0
8428,113100720220819104647.jpg,이미지 속 길거리 음식은 어느 나라 요리니?,Oden,subject,Street food,japan,3.0
8429,150100220220628173817.jpg,이미지의 농구는 어느 나라의 발명품이야?,Basketball,subject,canadian invention,Canada,3.0
8430,211301120220926120021.jpg,이미지에 있는 도기는 어느 나라의 문화에 해당할까?,Onggi,subject,pottery,Korea,3.0
8431,150101320220712175657.jpg,이미지 속 단체 경기는 어느 나라의 스포츠야?,Korfball,subject,Team sport,netherland,3.0
8432,120201520220822154330.jpg,이미지에서 대한민국의 천연기념물에 해당하는 동물은 뭐야?,Eurasian otter,subject,Natural monuments of South Korea,otter,3.0
8433,150101820220712182708.jpg,이미지 속 단체경기는 어디에 채택된 경기 종목이니?,Field hockey,subject,Olympic sports,olympics,3.0
8434,141500220220712135145.jpg,이미지 속 유독식물은 무슨 과에 속해?,Lycoris radiata,subject,Poisonous plants,Amaryllidaceae,3.0
8435,121000120220627135426.jpg,이미지 내 바다에 위치한 극피동물은 무엇이니?,Starfish,phylum,Echinoderm,starfish,3.0
8436,122200220220708104535.jpg,이미지 속 검정색 청소 동물은 뭐야?,Eastern carrion crow,subject,Scavenger,crow,3.0
8437,120206220220720160130.jpg,이미지 안 고양이아목에 해당되는 동물은 뭐야?,Meerkat,suborder,Feliformia,meerkat,3.0
8438,140100220220628163559.jpg,이미지 내 파초과에 포함되는 열대 과일은 무엇이지?,Banana,subject,Tropical fruit,banana,3.0
8439,110700620220928160827.jpg,판매를 위한 음식 저장을 하고 많은 식품 진열대가 있는 곳은 어디니?,a grocery store,UsedFor,storing food for sale,a grocery store,3.0
8440,133100320220722170317.jpg,이미지 속 정박지에 있는 유인원은 무엇이지?,Human,superfamily,Ape,people,3.0
8441,110101420220810143743.jpg,이미지에서 음역이 130인 벨기에의 발명품은 뭐야?,Saxophone,subject,Belgian invention,saxophone,3.0
8442,132100320220708151946.jpg,이미지 내 라디에이터는 어떤 용품일까?,Radiator,subject,Household goods,Household goods,3.0
8443,132303020220708163729.jpg,이미지 안 프로펠러는 어느 나라의 발명품이지?,Propeller,subject,swedish invention,Sweden,3.0
8444,120801620220720135149.jpg,이미지 내 뱀장어목에 속하는 곰치의 강은 뭐니?,Kidako moray,class,Actinopterygii,Actinopteri,3.0
8445,180601120220926183440.jpg,이미지 속 도로의 조명에 해당하는 것은 뭘까?,Street light,subject,Lighting,streetlamp,3.0
8446,130600820220804154108.jpg,사람의 아강은 뭐야?,Human,subclass,Theria,Theria,3.0
8447,120203520220707132704.jpg,이미지에서 늑대는 무슨 종류에 속해 있니?,Mongolian wolf,class,Mammal,a mammal,3.0
8448,170700120220915144759.jpg,이미지에서 음식을 주문하기 위해 필요한 건 뭐야?,a menu,UsedFor,order food,menu,3.0
8449,110201220220905103133.jpg,이미지 속 일본의 발명품은 뭘까?,Instant noodles,subject,Japanese invention,Instant noodles,3.0
8450,122201820220905152801.jpg,이미지 속 동물의 목은 뭘까?,Hummingbird,kingdom,Animal,Apodiformes,3.0
8451,120100820220707105645.jpg,나방은 무슨 동물일까?,Moth,phylum,Arthropod,arthropod,3.0
8452,122100220220622132643.jpg,이미지 안 절지동물이 속한 아강은 무엇이지?,Tick,phylum,Arthropod,Acari,3.0
8453,151300320220805175307.jpg,부클리예는 어떤 언어의 낱말이야?,Buckler,subject,french word,French language,3.0
8454,151400520220713143935.jpg,이미지 속 시계는 무엇에 속해?,Clock,subject,metal_product,Metal,3.0
8455,140402720220726112351.jpg,이미지 안 벼목에 속하는 미분류강은 뭐야?,Rye,order,Poales,rye,3.0
8456,120105020220720110436.jpg,방아깨의 문은 무엇일까?,Acrida cinerea,phylum,Arthropod,arthropod,3.0
8457,140400220220711101648.jpg,귀리는 무엇에 속해?,Oat,subject,Pooideae,Pooideae,3.0
8458,115200120220801152208.jpg,이미지 속 개는 무슨 목에 속하는 동물이야?,Dog,kingdom,Animal,Carnivora,3.0
8459,140601020220711153421.jpg,이미지 속 엉겅퀴는 어떤 식물이야?,thistle,unclassified_class,Eudicots,Eudicot plant,3.0
8460,110900820220801112807.jpg,이미지에서 후식으로 먹는 중국 요리는 뭐니?,Ice cream,subject,Chinese cuisine,ice cream,3.0
8461,120600220220707103932.jpg,이미지 안의 민달팽이는 무엇에 속한 동물이야?,Slug,superorder,Heterobranchia,Heterobranchia,3.0
8462,132000720220708144717.jpg,이미지 속 커터칼은 어느 나라의 발명품이야 ?,Utility knife,subject,Japanese invention,japan,3.0
8463,114800120220720115351.jpg,이미지 속 손목시계는 무엇을 알릴까?,a wristwatch,UsedFor,tell time,Visual perception,3.0
8464,151300220220713172859.jpg,이미지에서 깔개로 불리는 것은 뭐야?,Mat,subject,rug,mat,3.0
8465,122500320220721170341.jpg,비버는 무엇에 속할까?,Beaver,order,Rodent,rodents,3.0
8466,110201020220621152605.jpg,이미지 내 빵과 빵사이에 속을 채워넣는 샌드위치는 뭐야?,Sandwich,subject,Sandwich,Closed sandwich,3.0
8467,120202620220824160620.jpg,이미지 안 초원 목초지에 있는 척삭동물은 뭐야?,Zebra,phylum,Chordate,zebra,3.0
8468,121900320220707180638.jpg,이미지 속 해양 포유류는 무엇에 해당될까?,Polar bear,subject,Marine mammal,gomphidae,3.0
8469,151000420220713164438.jpg,수영은 어느 계절 스포츠에 속하지?,Swimming,subject,summer_sports,Summer,3.0
8470,120201420220623170945.jpg,원숭이는 무엇에 속하는 동물일까?,Monkey,suborder,Haplorhini,Haplorhini,3.0
8471,120207020220810105031.jpg,이미지 속 동물이 해당하는 과는 뭐야?,Siberian weasel,subject,Mustelidae,mustelidae,3.0
8472,120201420220623171925.jpg,이미지 속 직비원류에 해당하는 원숭이는 어디에 포함되니?,Monkey,order,Primate,a primate,3.0
8473,141201520220726152854.jpg,이미지 안 식물은 어떤 속에 해당해?,Potentilla reptans,kingdom,Plant,Potentilla,3.0
8474,114801120220719182626.jpg,이미지 내의 청진기는 어느 나라에서 발명했을까?,Stethoscope,subject,French invention,France,3.0
8475,110101620220812145051.jpg,금관 악기와 기명악기에 포함되는 악기는 뭘까?,Trumpet,subject,Aerophone,trumpet,3.0
8476,141200920220711134804.jpg,이미지 내 알로에는 무엇에 해당하는 식물이야?,Aloe,family,Xanthorrhoeaceae,Xanthorrhoeaceae,3.0
8477,120500120220624105036.jpg,이미지 안의 거대동물에 해당하는 소는 무엇에 포함될까?,Cattle,subject,Megafauna,a mammal,3.0
8478,120101220220818152159.jpg,아프리카 사막과 관련된 동물은 뭐지?,Caelifera,subject,africa desert,grasshopper,3.0
